-113 199 -103.96 183.08
-114 199 -104.88 183.08
-176 214 -161.92 196.88
-475 107 -437.0 98.44
-485 85 -446.2 78.2
-515 -24 -473.8 -22.08
-526 -89 -483.92 -81.88
-484 -276 -445.28 -253.92
-453 -352 -416.76 -323.84
-382 -417 -351.44 -383.64
-357 -433 -328.44 -398.36
-233 -485 -214.36 -446.2
-205 -488 -188.6 -448.96
-197 -478 -181.24 -439.76
-103 -475 -94.76 -437.0
-74 -469 -68.08 -431.48
-62 -466 -57.04 -428.72
-58 -460 -53.36 -423.2
-61 -459 -56.12 -422.28
-124 -445 -114.08 -409.4
-105 -435 -96.6 -400.2
-119 -443 -109.48 -407.56
-16 -457 -14.72 -420.44
47 -448 43.24 -412.16
97 -406 89.24 -373.52
196 -302 180.32 -277.84
232 -226 213.44 -207.92
242 -70 222.64 -64.4
215 -23 197.8 -21.16
175 -32 161.0 -29.44
167 -11 153.64 -10.12
30 133 27.6 122.36
-52 182 -47.84 167.44
-256 226 -235.52 207.92
-386 197 -355.12 181.24
-449 184 -413.08 169.28
-509 119 -468.28 109.48
-517 78 -475.64 71.76
-540 -220 -496.8 -202.4
-534 -254 -491.28 -233.68
-416 -389 -382.72 -357.88
-359 -434 -330.28 -399.28
-288 -452 -264.96 -415.84
-242 -464 -222.64 -426.88
-50 -394 -46.0 -362.48
28 -368 25.76 -338.56
28 -359 25.76 -330.28
100 -290 92.0 -266.8
158 -239 145.36 -219.88
208 -157 191.36 -144.44
219 -141 201.48 -129.72
219 -114 201.48 -104.88
223 -53 205.16 -48.76
203 -3 186.76 -2.76
203 -52 186.76 -47.84
148 69 136.16 63.48
-134 278 -123.28 255.76
-224 291 -206.08 267.72
-245 297 -225.4 273.24
-320 260 -294.4 239.2
-474 1 -436.08 0.92
-479 -70 -440.68 -64.4
-491 -103 -451.72 -94.76
-492 -140 -452.64 -128.8
-467 -249 -429.64 -229.08
-454 -326 -417.68 -299.92
-393 -419 -361.56 -385.48
-371 -428 -341.32 -393.76
-368 -433 -338.56 -398.36
-286 -440 -263.12 -404.8
-197 -430 -181.24 -395.6
-144 -412 -132.48 -379.04
-129 -389 -118.68 -357.88
-46 -363 -42.32 -333.96
-41 -361 -37.72 -332.12
-57 -342 -52.44 -314.64
-71 -321 -65.32 -295.32
-75 -318 -69.0 -292.56
-105 -277 -96.6 -254.84
-81 -295 -74.52 -271.4
-35 -298 -32.2 -274.16
22 -285 20.24 -262.2
114 -172 104.88 -158.24
144 -100 132.48 -92.0
64 185 58.88 170.2
60 184 55.2 169.28
-39 227 -35.88 208.84
-112 239 -103.04 219.88
-241 215 -221.72 197.8
-258 167 -237.36 153.64
-299 142 -275.08 130.64
-389 79 -357.88 72.68
-403 56 -370.76 51.52
-389 -9 -357.88 -8.28
-419 -158 -385.48 -145.36
-421 -343 -387.32 -315.56
-325 -456 -299.0 -419.52
-239 -478 -219.88 -439.76
-221 -479 -203.32 -440.68
-151 -472 -138.92 -434.24
-86 -463 -79.12 -425.96
-22 -443 -20.24 -407.56
4 -386 3.68 -355.12
5 -360 4.6 -331.2
48 -322 44.16 -296.24
58 -297 53.36 -273.24
96 -279 88.32 -256.68
96 -267 88.32 -245.64
121 -246 111.32 -226.32
161 -181 148.12 -166.52
200 -112 184.0 -103.04
198 -33 182.16 -30.36
239 35 219.88 32.2
114 45 104.88 41.4
59 89 54.28 81.88
-27 129 -24.84 118.68
-160 178 -147.2 163.76
-463 255 -425.96 234.6
-469 241 -431.48 221.72
-489 191 -449.88 175.72
-560 -7 -515.2 -6.44
-561 47 -516.12 43.24
-548 -101 -504.16 -92.92
-531 -221 -488.52 -203.32
-430 -402 -395.6 -369.84
-365 -449 -335.8 -413.08
-233 -499 -214.36 -459.08
-201 -500 -184.92 -460.0
-39 -461 -35.88 -424.12
-7 -433 -6.44 -398.36
68 -424 62.56 -390.08
194 -375 178.48 -345.0
240 -353 220.8 -324.76
265 -259 243.8 -238.28
240 -283 220.8 -260.36
246 -238 226.32 -218.96
267 -169 245.64 -155.48
350 -70 322.0 -64.4
384 -55 353.28 -50.6
354 30 325.68 27.6
319 82 293.48 75.44
74 253 68.08 232.76
19 216 17.48 198.72
26 218 23.92 200.56
130 79 119.6 72.68
144 75 132.48 69.0
56 136 51.52 125.12
-71 194 -65.32 178.48
-265 199 -243.8 183.08
-503 113 -462.76 103.96
-515 66 -473.8 60.72
-511 47 -470.12 43.24
-544 -170 -500.48 -156.4
-537 -283 -494.04 -260.36
-492 -369 -452.64 -339.48
